date;channel_group;channel_name;value;type_id
2021-09-30T11:30:19;heizung;rl;28.9;1
2021-09-30T11:30:20;speicher;unten;33.9;1
2021-09-30T11:30:21;speicher;oben;56.9;1
2021-09-30T11:30:22;heizung;ladung-rl;27.8;1
2021-09-30T11:30:23;zirkulation;og;29.9;1
2021-09-30T11:30:25;kollektor;vl;46.0;1
2021-09-30T11:30:26;zirkulation;warmwasser;52.9;1
2021-09-30T11:30:43;innentemperatur;heizraum;22.14;1
2021-09-30T11:30:43;innenfeuchtigkeit;heizraum;38.89;2
2021-09-30T11:30:43;co2konzentration;heizraum;524.0;3
2021-09-30T11:30:50;innentemperatur;heizraum2;21.92;1
2021-09-30T11:30:50;innenfeuchtigkeit;heizraum2;43.2;2
2021-09-30T11:30:50;luftqualitaet;heizraum;405.0;4
2021-09-30T11:30:50;luftdruck;heizraum;1027.24;4
2021-09-30T11:31:30;gaszaehler;heizraum;1495.0;6
2021-09-30T11:32:05;aussentemperatur;nord;11.3;1
2021-09-30T11:32:05;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:32:05;innentemperatur;kueche;21.1;1
2021-09-30T11:32:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:32:15;speicher;mitte;56.0;1
2021-09-30T11:32:16;zirkulation;eg;27.2;1
2021-09-30T11:32:17;heizung;vl;28.8;1
2021-09-30T11:32:18;zirkulation;kueche;30.1;1
2021-09-30T11:32:19;heizung;rl;28.1;1
2021-09-30T11:32:20;speicher;unten;34.1;1
2021-09-30T11:32:22;speicher;oben;56.8;1
2021-09-30T11:32:23;heizung;ladung-rl;27.8;1
2021-09-30T11:32:24;zirkulation;og;30.2;1
2021-09-30T11:32:25;kollektor;vl;47.1;1
2021-09-30T11:32:26;zirkulation;warmwasser;51.9;1
2021-09-30T11:32:43;innentemperatur;heizraum;22.08;1
2021-09-30T11:32:43;innenfeuchtigkeit;heizraum;38.99;2
2021-09-30T11:32:43;co2konzentration;heizraum;518.0;3
2021-09-30T11:32:51;innentemperatur;heizraum2;21.87;1
2021-09-30T11:32:51;innenfeuchtigkeit;heizraum2;43.32;2
2021-09-30T11:32:51;luftqualitaet;heizraum;376.0;4
2021-09-30T11:32:51;luftdruck;heizraum;1027.2;4
2021-09-30T11:33:30;gaszaehler;heizraum;1495.0;6
2021-09-30T11:34:05;aussentemperatur;nord;11.4;1
2021-09-30T11:34:05;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:34:05;innentemperatur;kueche;21.1;1
2021-09-30T11:34:05;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:34:15;speicher;mitte;55.9;1
2021-09-30T11:34:16;zirkulation;eg;27.0;1
2021-09-30T11:34:17;heizung;vl;27.9;1
2021-09-30T11:34:18;zirkulation;kueche;30.1;1
2021-09-30T11:34:19;heizung;rl;27.8;1
2021-09-30T11:34:20;speicher;unten;34.8;1
2021-09-30T11:34:21;speicher;oben;56.9;1
2021-09-30T11:34:23;heizung;ladung-rl;27.8;1
2021-09-30T11:34:24;zirkulation;og;31.1;1
2021-09-30T11:34:25;kollektor;vl;47.1;1
2021-09-30T11:34:26;zirkulation;warmwasser;50.9;1
2021-09-30T11:34:44;innentemperatur;heizraum;22.11;1
2021-09-30T11:34:44;innenfeuchtigkeit;heizraum;39.0;2
2021-09-30T11:34:44;co2konzentration;heizraum;522.0;3
2021-09-30T11:34:52;innentemperatur;heizraum2;21.83;1
2021-09-30T11:34:52;innenfeuchtigkeit;heizraum2;43.47;2
2021-09-30T11:34:52;luftqualitaet;heizraum;331.0;4
2021-09-30T11:34:52;luftdruck;heizraum;1027.21;4
2021-09-30T11:35:31;gaszaehler;heizraum;1495.0;6
2021-09-30T11:36:04;aussentemperatur;nord;11.5;1
2021-09-30T11:36:04;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:36:04;innentemperatur;kueche;21.1;1
2021-09-30T11:36:04;innenfeuchtigkeit;kueche;52.0;2
2021-09-30T11:36:14;speicher;mitte;55.9;1
2021-09-30T11:36:15;zirkulation;eg;27.1;1
2021-09-30T11:36:16;heizung;vl;28.1;1
2021-09-30T11:36:18;zirkulation;kueche;31.0;1
2021-09-30T11:36:19;heizung;rl;28.1;1
2021-09-30T11:36:20;speicher;unten;35.1;1
2021-09-30T11:36:21;speicher;oben;56.8;1
2021-09-30T11:36:22;heizung;ladung-rl;27.8;1
2021-09-30T11:36:23;zirkulation;og;30.8;1
2021-09-30T11:36:24;kollektor;vl;47.8;1
2021-09-30T11:36:25;zirkulation;warmwasser;49.8;1
2021-09-30T11:36:47;innentemperatur;heizraum;22.1;1
2021-09-30T11:36:47;innenfeuchtigkeit;heizraum;39.59;2
2021-09-30T11:36:47;co2konzentration;heizraum;521.0;3
2021-09-30T11:36:54;innentemperatur;heizraum2;21.91;1
2021-09-30T11:36:54;innenfeuchtigkeit;heizraum2;43.68;2
2021-09-30T11:36:54;luftqualitaet;heizraum;312.0;4
2021-09-30T11:36:54;luftdruck;heizraum;1027.1799999999998;4
2021-09-30T11:37:34;gaszaehler;heizraum;1495.0;6
2021-09-30T11:38:05;aussentemperatur;nord;11.5;1
2021-09-30T11:38:05;aussenfeuchtigkeit;nord;75.0;2
2021-09-30T11:38:05;innentemperatur;kueche;21.1;1
